Country_Name,Country_Code,Anxiety,Bipolar,Depression,Eating Disorders,Schizophrenia,Self-Harm,Has_MH_Policy,Has_MH_Services,Has_MH_Legislation
Benin,BEN,351.3984734994805,102.08508110877548,737.0140402181887,37.50947875042265,130.06263148710389,531.2155715173989,0.0,0,1.0
Bhutan,BTN,393.5662658978805,81.09626860692126,619.7909814546575,54.631158408071485,180.07537894165984,301.9565814723857,1.0,0,1.0
Bolivia (Plurinational State of),BOL,747.0885205853693,173.31175178407884,550.125336522686,78.86321369413727,141.38171901893435,278.58640896478715,0.0,0,1.0
Bosnia and Herzegovina,BIH,466.77354801177034,104.45944533377103,432.6166286460539,45.97973697194355,134.11658924496513,412.8505331588116,1.0,1,1.0
Botswana,BWA,433.2153380580908,108.87011228930919,667.9102064428328,64.7880419108105,135.26619052238743,544.8882720074455,1.0,1,1.0
Brazil,BRA,901.8889939747376,217.71045883559879,522.3752620177205,73.63692945661582,147.4886466594462,327.1156966412149,1.0,1,1.0
Brunei Darussalam,BRN,352.95098449396113,115.80740010568032,213.66498581979388,152.0828052796018,161.1093746535238,172.09190234687875,0.0,1,0.0
Bulgaria,BGR,488.8381945908775,89.70403996537767,442.5519910464239,51.53670265325703,135.02256902821952,483.2949416543111,1.0,0,0.0
Burkina Faso,BFA,343.57656534581366,102.28572731332478,742.7755783958141,34.125998542921934,127.1371965488607,691.3014343886883,0.0,0,1.0
Burundi,BDI,430.98065528157133,119.22155085601145,778.2630155258352,26.93194354618801,117.1112831424881,721.5319135337536,0.0,0,1.0
Cabo Verde,CPV,366.27413342665517,104.74913067196388,848.4053065139539,50.3251260946907,143.10581264158225,794.9650408372396,0.0,1,1.0
Cambodia,KHM,504.600978179982,71.17486950319632,371.56594449890963,30.29433677831666,159.455793206274,245.20009998497147,1.0,0,1.0
Cameroon,CMR,353.0561089548875,102.04476829369985,770.2456590105548,41.01990786581563,130.03631012641378,643.530904762107,0.0,0,1.0
Canada,CAN,499.24281111912273,156.94961666717842,390.2679060430208,126.4036956375689,174.98849802736316,514.2139900291858,0.0,1,1.0
Central African Republic,CAF,448.981048965509,107.73522951267346,915.1876321597232,26.622731951787692,111.76869048483238,1032.5349563912494,0.0,0,1.0
Chad,TCD,358.3264126461541,101.04661511517342,895.5702036246627,35.235008394419296,126.00436499126464,578.0368580515399,0.0,0,1.0
Chile,CHL,663.5096800065738,148.71758619288806,516.9457693624208,111.30107617801461,168.27639053247654,447.351878564798,0.0,0,1.0
China,CHN,418.7526067696022,41.45484920038122,408.0889321997911,37.604485344429946,194.25040059925473,410.1985922065682,1.0,1,1.0
Comoros,COM,425.0910390468288,121.51355894137751,692.1900035540802,37.75405862376478,130.53235418601398,448.3429977373667,0.0,1,0.0
Congo,COG,420.93270274927914,109.17378641264709,891.1346030137192,46.28864683105798,128.1927500085617,746.4334427986934,0.0,0,1.0
Cook Islands,COK,479.86603562293124,61.0157896982327,386.63450797501594,51.71997851412497,185.4300388682169,539.4165374091262,0.0,1,1.0
Costa Rica,CRI,518.069845099119,166.485012120353,498.7374360639082,76.2084569571185,152.0880848724831,408.1975167361476,1.0,0,1.0
Croatia,HRV,463.9374491924573,104.64558527469322,478.64729292517546,57.52484015679926,137.75162545557146,500.87928250671774,1.0,1,1.0
Cuba,CUB,533.2314366029232,177.36338259024959,602.0704395425226,62.54025693948084,142.268818985547,559.4790738989811,1.0,0,0.0
Cyprus,CYP,738.7812473575061,187.10601994710493,418.01481796339095,124.56280898854159,169.39741266311518,173.19390561904862,1.0,1,1.0
Czechia,CZE,430.5283344895232,103.93394455214356,440.83441793102133,62.4114571051509,140.0692419934382,462.27152964806294,0.0,0,1.0
Côte d'Ivoire,CIV,353.7434478475131,102.37833620846342,641.5172607071459,42.40830284136221,131.5619787111024,649.7707865507224,1.0,0,1.0
Denmark,DNK,645.621975683695,186.37237104622247,488.01639070433595,137.39942202216733,218.88065938682954,401.1100489680095,1.0,1,1.0
Dominica,DMA,536.8096075646692,174.4744262332536,434.36274792353294,68.923967717881,138.43261469721986,185.28255783880462,0.0,1,0.0
Dominican Republic,DOM,550.5723918481475,173.1428461470506,593.1103568061876,79.72832012664225,140.6381805399543,272.6173974306433,0.0,1,1.0
