Code,Year,HealthSystem_Score
BOL,2013,40
BRA,2013,80
CAN,2013,100
SDN,2010,0
SYR,2010,0
ARE,2010,0
AND,2010,0
CHL,2013,20
COL,2013,80
CRI,2013,80
CUB,2013,100
ARM,2010,100
AUT,2010,66
AZE,2010,16
BEL,2010,50
DMA,2013,25
DOM,2013,100
ECU,2013,40
SLV,2013,100
GRD,2013,60
GTM,2013,100
GUY,2013,100
HTI,2013,60
HND,2013,75
JAM,2013,20
MEX,2013,100
NIC,2013,60
PAN,2013,40
PRY,2013,60
PER,2013,80
KNA,2013,60
VCT,2013,60
SUR,2013,0
TTO,2013,20
USA,2013,100
URY,2013,100
VEN,2013,100
AFG,2013,40
BHR,2013,40
DJI,2013,40
EGY,2013,100
IRN,2013,100
IRQ,2013,100
JOR,2013,80
KWT,2013,100
LBN,2013,60
LBY,2013,40
MAR,2013,100
OMN,2013,100
PAK,2013,60
QAT,2013,100
SAU,2013,100
SOM,2013,0
SDN,2013,80
SYR,2013,20
TUN,2013,40
ARE,2013,40
YEM,2013,100
AND,2013,0
ARM,2013,100
AUT,2013,100
AZE,2013,100
BEL,2013,60
HRV,2013,100
CYP,2013,0
CZE,2013,60
DNK,2013,0
EST,2013,40
FIN,2013,80
FRA,2013,60
GEO,2013,100
HUN,2013,100
KAZ,2013,100
LTU,2013,0
LUX,2013,40
MLT,2013,0
MCO,2013,20
MNE,2013,20
NLD,2013,40
NOR,2013,100
POL,2013,0
ROU,2013,40
SVK,2013,100
SVN,2013,20
ESP,2013,80
SWE,2013,100
CHE,2013,20
MKD,2013,20
BGD,2013,100
BTN,2013,80
PRK,2013,20
IND,2013,100
IDN,2013,80
MDV,2013,100
MMR,2013,100
NPL,2013,20
LKA,2013,80
THA,2013,80
TLS,2013,0
AUS,2013,100
BRN,2013,100
KHM,2013,0
CHN,2013,100
COK,2013,80
FJI,2013,100
JPN,2013,100
KIR,2013,50
LAO,2013,80
MYS,2013,100
MHL,2013,100
FSM,2013,20
MNG,2013,40
NZL,2013,100
NIU,2013,20
PLW,2013,60
PNG,2013,60
PHL,2013,100
KOR,2013,100
WSM,2013,60
SGP,2013,100
SLB,2013,40
TON,2013,60
TUV,2013,60
VUT,2013,60
VNM,2013,80
DZA,2014,60
BEN,2014,80
CMR,2014,100
COD,2014,100
ERI,2014,60
ETH,2014,100
GMB,2014,20
GHA,2014,40
AGO,2014,20
BFA,2014,40
BDI,2014,20
CAF,2014,40
TCD,2014,20
GIN,2014,80
GNB,2014,40
MDG,2014,40
MWI,2014,20
MRT,2014,0
MUS,2014,40
NAM,2014,60
NGA,2014,60
RWA,2014,40
STP,2014,0
